mA,O2frac,mm,slm,Vdis,diluted,NO,NO2,HONO,number,R2
40,0.090909091,2,0.5,0.482,0,960.7554389,86.1108737,16.3619336,4.75,0.973444803
40,0.090909091,2,1,0.48,0,534.6326619,28.94562407,1.732318786,5,0.954597418
40,0.090909091,2,3,0.486,0,240.8566098,6.719713839,2.032088475,5,0.798781973
40,0.090909091,2,7,0.5,0,106.7496227,3.563443042,1.905338177,5,0.606585816
40,0.090909091,5,0.5,0.709,0,1670.827747,487.8980733,54.36232243,5,0.994550539
40,0.090909091,5,1,0.707,0,1086.894102,98.59369366,0.35581079,5.375,0.969683174
40,0.090909091,5,3,0.727,0,524.5984292,14.97571397,7.33E-09,5,0.886277994
40,0.090909091,5,5,0.742,0,399.7150147,8.872322222,5.608891321,5,0.91992059
40,0.090909091,5,7,0.763,0,287.0995135,5.698513929,5.480398136,5,0.911221841
40,0.090909091,8,0.5,0.916,0,1856.451713,499.272023,73.23477441,5,0.994357974
40,0.090909091,8,1,0.932,0,1479.029353,205.1711345,9.92E-11,5,0.979738529
40,0.090909091,8,3,0.977,0,978.2444934,47.72747529,3.88368689,5,0.947097255
40,0.090909091,8,5,1.02,0,692.7476991,21.69516945,11.54613365,5,0.942310647
40,0.090909091,8,7,1.05,0,550.7195106,13.11253704,10.09947446,5,0.91396561
40,0.090909091,12,0.5,1.12,0,2904.081448,1374.368916,355.3259632,4.875,0.99490836
40,0.090909091,12,1,1.16,0,2580.192066,641.2006595,76.20429292,5,0.994175562
40,0.090909091,12,3,1.25,0,1480.121925,98.43449264,2.30E-13,4.75,0.962398779
40,0.090909091,12,5,1.34,0,1029.827362,36.05194772,3.996188599,5,0.941945813
40,0.090909091,12,7,1.41,0,868.4616628,24.6202363,3.50E-09,5,0.935568612
40,0.090909091,15,0.5,1.28,0,3237.873477,1596.99456,510.9237363,4.5,0.993946257
40,0.090909091,15,1,1.32,0,2892.045453,818.3103316,134.675949,4.625,0.994816396
40,0.090909091,15,3,1.44,0,1700.700952,112.5915763,6.17410451,5,0.965795243
40,0.090909091,15,5,1.51,0,1135.83953,37.91485686,1.78E-12,5,0.939415633
40,0.090909091,15,7,1.64,0,968.4347123,27.38442393,3.721881786,5,0.937869665
40,0.2095,2,0.5,0.476,0,983.4756916,313.1258101,28.93558643,5,0.994056955
40,0.2095,2,1,0.479,0,694.7269961,86.23453522,3.20213612,5,0.98181843
40,0.2095,2,3,0.485,0,306.2451412,13.55824081,0.116742627,5,0.934912206
40,0.2095,2,5,0.488,0,192.8603457,5.835749387,0.567937468,5,0.886252355
40,0.2095,2,7,0.493,0,120.1171331,2.232689722,9.34E-08,5,0.780198634
40,0.2095,5,0.5,0.72,0,1515.104807,975.160635,257.1166393,5,0.996565777
40,0.2095,5,1,0.72,0,1192.615314,246.1353718,28.27514956,5,0.992729754
40,0.2095,5,3,0.721,0,750.7887061,45.76615832,7.516950786,5.125,0.959156111
40,0.2095,5,5,0.734,0,538.5966879,19.03111091,8.948944242,5,0.938718014
40,0.2095,5,7,0.769,0,449.4320691,13.53691905,17.23983059,5,0.917407536
40,0.2095,8,0.5,0.947,0,1914.034509,1336.990119,352.171293,5,0.995299219
40,0.2095,8,1,0.97,0,1650.278876,559.5883762,56.78927327,5,0.995725732
40,0.2095,8,3,1,0,1230.075122,128.4110317,2.91E-08,5,0.977285467
40,0.2095,8,5,1.04,0,902.6533999,46.21625032,6.940883928,5,0.954315612
40,0.2095,8,7,1.09,0,730.9641833,26.38703336,11.03109857,5,0.94428106
40,0.2095,12,0.5,1.2,3,934.3776815,223.9938725,32.8577923,5,0.992468488
40,0.2095,12,1,1.24,0,2683.610014,1880.694268,663.1569543,4.5,0.992842943
40,0.2095,12,3,1.3,0,1744.018579,274.9287964,4.60E-10,5,0.987410009
40,0.2095,12,5,1.38,0,1281.155589,89.84736302,0.654231269,5,0.965580771
40,0.2095,12,7,1.44,0,1090.124766,51.16322031,5.809888024,5,0.951329936
40,0.2095,15,0.5,1.36,3,995.3223828,266.8655965,1.064593772,5,0.993343912
40,0.2095,15,1,1.4,0,2863.902601,2116.206009,825.074963,5,0.991582449
40,0.2095,15,3,1.48,0,1996.656477,336.7430943,21.08137514,5,0.989766914
40,0.2095,15,5,1.59,0,1487.895239,101.6518681,7.903147189,5,0.965683711
40,0.2095,15,7,1.68,0,1250.876541,62.18153626,4.68E-09,5,0.95104432
40,0.5,8,0.5,0.968,0,1542.440871,2275.848971,786.3956342,5,0.990189697
40,0.5,8,1,0.97,0,1590.985294,1108.865127,175.86668,5,0.996466217
40,0.5,8,3,1.01,0,1279.831342,305.7816689,1.10E-10,5,0.993326262
40,0.5,8,5,1.04,0,976.9799128,108.680338,3.02E-08,5,0.976717653
50,0.019607843,2,0.5,0.442,0,314.3084683,10.90209943,8.76E-08,6,0.707560345
50,0.019607843,2,1,0.443,0,147.5756676,5.146250297,1.773210334,5,0.919525499
50,0.019607843,2,3,0.455,0,101.1687025,4.348683785,6.301360854,5,0.881734592
50,0.019607843,5,0.5,0.64,0,1055.562024,52.46663434,1.34E-08,5,0.874829255
50,0.019607843,5,1,0.64,0,464.2951011,13.99769118,8.51E-09,5,0.511093901
50,0.019607843,5,3,0.684,0,227.5451091,5.141262194,1.965478145,5,0.917762055
50,0.019607843,5,5,0.689,0,160.4915939,2.89069448,7.688325365,5,0.553316102
50,0.019607843,8,0.5,0.815,0,1417.614087,94.56238107,15.63836903,5.25,0.963587509
50,0.019607843,8,1,0.829,0,1056.077239,35.26760575,2.429420646,5,0.936425536
50,0.019607843,8,3,0.874,0,560.4382473,11.06490559,16.30623253,5,0.931559098
50,0.019607843,8,5,0.901,0,315.5136218,5.246715106,0.481588978,5,0.879639929
50,0.019607843,8,7,0.946,0,261.8014769,6.310063773,9.640438979,5,0.931464951
50,0.019607843,12,0.5,1.04,0,738.9815957,12.0606888,8.85E-08,5,0.929713832
50,0.019607843,12,1,1.04,0,1021.25581,18.61892211,1.06E-07,5,0.910616283
50,0.019607843,12,3,1.12,0,696.8536528,13.88977463,2.38E-07,5,0.928039243
50,0.019607843,12,5,1.19,0,393.59766,7.90150398,4.57E-08,5,0.892625114
50,0.019607843,12,7,1.29,0,348.3976473,8.279767462,1.798206545,5,0.929627059
50,0.019607843,15,0.5,1.12,0,2521.836164,233.0462819,5.14928817,5,0.976201271
50,0.019607843,15,1,1.19,0,1271.157667,23.83559787,10.52653496,5.25,0.926316265
50,0.019607843,15,3,1.26,0,800.92868,15.12872347,5.084199656,5,0.933184903
50,0.019607843,15,5,1.34,0,458.8180774,12.17423239,2.70E-12,5,0.843732175
50,0.019607843,15,7,1.45,0,427.4947717,10.24972234,6.63E-09,5,0.931281401
50,0.090909091,2,0.5,0.454,0,1119.117033,121.8505352,21.469137,5,0.979014675
50,0.090909091,2,1,0.456,0,658.8953697,36.20326218,1.24247498,5,0.955107
50,0.090909091,2,3,0.469,0,295.1196834,8.369551068,1.983231364,4.75,0.830646996
50,0.090909091,2,5,0.472,0,103.4215156,1.389844681,6.02E-12,4.666666667,0.517712455
50,0.090909091,2,7,0.48,0,128.4531246,3.870129781,1.990981599,5,0.655431412
50,0.090909091,5,0.5,0.664,0,1649.435393,510.7753518,58.6119445,5,0.994818631
50,0.090909091,5,1,0.666,0,1301.482105,144.1097556,3.081427566,5,0.977949819
50,0.090909091,5,3,0.683,0,572.1079212,17.03355855,2.51E-10,5,0.89171321
50,0.090909091,5,5,0.702,0,458.8687587,10.93841626,2.555232406,5,0.914259833
50,0.090909091,5,7,0.723,0,335.6228886,5.887770443,7.855892291,5.5,0.85908231
50,0.090909091,8,0.5,0.869,0,2043.781805,636.9682594,106.5147698,5,0.995249795
50,0.090909091,8,1,0.869,0,1537.084588,220.9448991,8.89E-12,5,0.980829313
50,0.090909091,8,3,0.904,0,1062.771505,51.56103906,4.029619054,5,0.946659355
50,0.090909091,8,5,0.947,0,786.4358586,24.83360144,15.17468911,5,0.94418598
50,0.090909091,8,7,0.969,0,629.0983182,15.48115558,10.46900437,5,0.927376375
50,0.090909091,12,0.5,1,0,2981.528394,1456.883341,397.2736478,5,0.994616551
50,0.090909091,12,1,1.04,0,2634.17873,672.9584724,84.53770215,5,0.994329137
50,0.090909091,12,3,1.14,0,1600.250408,112.1122363,1.56E-14,5,0.965076386
50,0.090909091,12,5,1.22,0,1140.813694,39.91315004,5.39534083,5,0.942213808
50,0.090909091,12,7,1.28,0,968.2927642,28.38398573,4.59E-10,5,0.936475622
50,0.090909091,15,0.5,1.13,0,3166.542874,1545.747809,486.5588511,5,0.994118884
50,0.090909091,15,1,1.18,0,2988.922882,875.9543624,154.8396404,5,0.994902426
50,0.090909091,15,3,1.31,0,1830.178786,129.0887938,6.335525018,4.5,0.968288612
50,0.090909091,15,5,1.36,0,1242.610813,43.02388356,7.12E-11,5.5,0.942172247
50,0.090909091,15,7,1.47,0,1071.832775,30.92694369,4.328791829,5,0.9383781
50,0.2095,2,0.5,0.458,0,1207.855011,482.2940049,72.18033349,5,0.99585374
50,0.2095,2,1,0.458,0,864.3765297,124.9878045,7.341172716,5,0.985652205
50,0.2095,2,3,0.466,0,378.5645298,16.77425968,2.41E-06,5,0.945609936
50,0.2095,2,5,0.468,0,242.640048,6.864489881,0.77462995,5,0.915267291
50,0.2095,2,7,0.478,0,154.7223402,2.46201135,2.04E-07,5.375,0.792803903
50,0.2095,5,0.5,0.68,0,1612.72108,1169.594353,347.0866969,5,0.996023987
50,0.2095,5,1,0.68,0,1281.432358,291.1201523,35.51480893,5,0.993654054
50,0.2095,5,3,0.683,0,834.9776603,54.87114947,8.047640566,4.875,0.963154665
50,0.2095,5,5,0.704,0,673.2186405,27.01676987,12.49407557,5,0.943835082
50,0.2095,5,7,0.721,0,521.0772533,15.70844709,16.61204876,5.375,0.932484823
50,0.2095,8,0.5,0.887,0,1992.357561,1500.541081,445.781742,5,0.994625614
50,0.2095,8,1,0.916,0,1771.755802,625.3443849,68.48383649,5,0.995932383
50,0.2095,8,3,0.948,0,1340.062638,148.4471702,2.92E-09,5,0.979260311
50,0.2095,8,5,0.973,0,1026.624162,55.72925871,5.850003294,5,0.957021515
50,0.2095,8,7,1.01,0,828.0972509,30.71621119,10.23976921,5,0.944844195
50,0.2095,12,0.5,1.12,3,1012.362305,209.9403076,38.82328796,5.125,0.987235718
50,0.2095,12,1,1.12,0,2788.10201,2061.131176,787.2386887,5,0.991848498
50,0.2095,12,3,1.2,0,1904.459501,320.259698,0.486712421,5,0.988746479
50,0.2095,12,5,1.28,0,1425.128324,104.2190939,0.608753716,5,0.967390703
50,0.2095,12,7,1.33,0,1223.419488,60.62797311,5.262148537,5,0.952515735
50,0.2095,15,0.5,1.24,3,1038.852662,280.5584694,1.876514087,5,0.993513454
50,0.2095,15,1,1.28,0,2939.863922,2259.828777,929.3587067,5,0.990726752
50,0.2095,15,3,1.37,0,2173.278709,403.064348,32.05787338,5,0.991312433
50,0.2095,15,5,1.46,0,1645.249544,123.0486593,10.18285894,5,0.969201963
50,0.2095,15,7,1.54,0,1391.22771,74.79551771,7.26E-11,5,0.954320719
50,0.5,8,0.5,0.927,0,1546.043126,2310.243645,811.4621585,5,0.989935138
50,0.5,8,1,0.93,0,1681.427133,1321.15391,244.9607462,5,0.995623609
50,0.5,8,3,0.965,0,1423.79786,377.4744216,1.0117569,5,0.994492821
50,0.5,8,5,0.982,0,1136.881478,147.6202629,2.92E-08,5,0.981613949
60,0.019607843,2,0.5,0.43,0,329.5733185,10.4082982,9.73E-09,5,0.699361197
60,0.019607843,2,1,0.425,0,153.1883555,5.342097689,1.614247163,5,0.841569239
60,0.019607843,2,3,0.442,0,109.3095589,4.616669299,7.560811199,5,0.885795507
60,0.019607843,5,0.5,0.6,0,959.831778,46.82971968,3.08E-09,5,0.870662333
60,0.019607843,5,1,0.6,0,490.7274523,13.88278729,7.47E-09,5,0.560527675
60,0.019607843,5,3,0.643,0,257.696719,5.863654684,5.081500863,5,0.920141299
60,0.019607843,5,5,0.67,0,218.4981907,4.858367795,24.35587522,9,0.513319812
60,0.019607843,8,0.5,0.77,0,1411.118903,96.46316009,11.69435974,5,0.962771231
60,0.019607843,8,1,0.77,0,1072.183614,36.86025914,0.534793288,5,0.938240274
60,0.019607843,8,3,0.813,0,611.2246263,12.47954235,18.33639532,5,0.934560098
60,0.019607843,8,5,0.838,0,340.5466405,5.578435553,0.091428969,5,0.88395586
60,0.019607843,8,7,0.875,0,283.0012512,6.855523009,9.603681347,5,0.932018025
60,0.019607843,12,0.5,0.96,0,766.8407302,11.7322597,4.89E-07,5,0.925647103
60,0.019607843,12,1,0.96,0,1052.396688,18.92481516,3.85E-07,5,0.911913943
60,0.019607843,12,3,1.04,0,740.5526463,14.58956353,8.33E-11,5,0.927404509
60,0.019607843,12,5,1.11,0,420.0736925,8.075424213,6.91E-10,5,0.889480423
60,0.019607843,12,7,1.18,0,391.9284451,9.283532898,4.579250838,5,0.932034779
60,0.019607843,15,0.5,1.04,0,2212.619961,194.6936875,1.336461685,5,0.97395014
60,0.019607843,15,1,1.08,0,1363.561873,24.8530424,14.62543471,4.625,0.920362123
60,0.019607843,15,3,1.16,0,845.4050834,16.19254222,6.641016517,5,0.929769999
60,0.019607843,15,5,1.23,0,502.3972141,11.2546938,2.20E-13,5,0.843647649
60,0.019607843,15,7,1.33,0,461.6620573,10.73396578,1.669317359,5,0.936739449
60,0.090909091,2,0.5,0.44,0,1212.149386,149.5025057,24.7620804,5,0.982761211
60,0.090909091,2,1,0.442,0,726.4374499,41.07908258,1.936731121,5,0.956539699
